id,symbol,current_price,market_cap,total_volume,price_change_percentage_24h
bitcoin,btc,80538.0,1612521075709,45486509162.0,1.53648
ethereum,eth,2255.52,272137396157,19469902810.0,0.16378
binancecoin,bnb,685.0,92345904684,1272199176.0,1.99686
ripple,xrp,1.47,90670105303,4196516465.0,2.08635
solana,sol,90.95,52567022210,3575646976.0,0.15073
tron,trx,0.35184,33376678630,510823082.0,-0.58405
hyperliquid,hype,45.42,10824783752,860197792.0,13.7904
cardano,ada,0.266479,9871738876,459297663.0,0.72642
zcash,zec,531.99,8892909340,728288695.0,2.29872
bitcoin-cash,bch,430.95,8635945096,241283124.0,-0.38447
monero,xmr,390.76,7252717070,141098652.0,-1.69247
canton-network,cc,0.161521,6212169970,21538792.0,-2.53959
the-open-network,ton,2.08,5618942138,320923147.0,-0.57107
sui,sui,1.13,4532899411,727685004.0,-5.28208
litecoin,ltc,58.04,4478846326,317097260.0,1.78086
avalanche-2,avax,9.76,4213833889,229765278.0,0.7795
memecore,m,3.22,4212365476,10028301.0,-3.22544
hedera-hashgraph,hbar,0.093015,4034294646,92432355.0,0.01474
crypto-com-chain,cro,0.074856,3263737736,15409766.0,0.99723
bittensor,tao,299.31,2880785002,196352469.0,0.66484
near,near,1.55,2011924932,211115949.0,-0.599
pi-network,pi,0.169443,1780055782,13579966.0,-0.01939
internet-computer,icp,2.69,1483313092,131041397.0,-7.70362
ethereum-classic,etc,9.29,1455262394,43975773.0,0.68857
algorand,algo,0.116286,1036021069,31375587.0,-0.67786
kaspa,kas,0.03616102,994432145,20324177.0,-1.66605
stable-2,stable,0.03755781,855681633,40259440.0,-7.711
flare-networks,flr,0.00965568,835343938,12603219.0,11.66088
aptos,apt,1.016,833854241,64938203.0,-1.32095
filecoin,fil,1.031,805452622,87880534.0,-0.33342
xdce-crowd-sale,xdc,0.03566073,711186209,30808462.0,4.66148
vechain,vet,0.00720553,619749453,16642581.0,-0.45822
beldex,bdx,0.079005,611283913,10892054.0,0.35278
hash-2,hash,0.01144801,605865255,61852.0,5.46023
midnight-3,night,0.03206451,539004015,23020520.0,-1.15886
injective-protocol,inj,5.05,504788855,132372734.0,-2.5182
kite-2,kite,0.216671,491253295,44581966.0,0.08252
chiliz,chz,0.04530671,469198955,80043949.0,6.81593
sei-network,sei,0.065658,442325422,33702773.0,-0.09314
celestia,tia,0.447114,409902328,56033571.0,-2.00469
tezos,xtz,0.370619,402166771,11273398.0,-0.14574
telcoin,tel,0.00369779,353797541,7664720.0,23.23666
gnosis,gno,126.44,333895236,3988865.0,-0.44757
monad,mon,0.02818816,333096881,106550617.0,-2.7117
decred,dcr,18.52,322921622,959802.0,0.02571
kaia,kaia,0.04675193,273800205,6169714.0,-1.27044
iota,iota,0.060347,268177287,9466588.0,0.25042
unit-bitcoin,ubtc,80451.0,263409539,45067417.0,1.4505
plasma,xpl,0.092705,232586509,54758543.0,-2.68664
theta-token,theta,0.220809,221361244,13849434.0,-0.2259
chain-2,xcn,0.00499451,191030266,11668879.0,-0.71053
thorchain,rune,0.53489,187488924,45229807.0,-7.74025
story-2,ip,0.520071,184330682,32235061.0,-1.70889
sonic-3,s,0.04862257,183889152,16936491.0,-0.15707
gala,gala,0.00360731,172382182,43909273.0,-0.01375
irys,irys,0.07979,169495738,73800941.0,42.57528
zano,zano,11.08,169351952,1492091.0,-3.43655
ecash,xec,7.83e-06,157251660,6446303.0,-2.24328
ultima,ultima,2929.19,152910748,18256619.0,-1.28256
arweave,ar,2.28,149911940,15965122.0,-1.8107
vaulta,a,0.089297,147040049,17313285.0,-1.35753
wemix-token,wemix,0.289794,133949456,1095302.0,1.16166
elrond-erd-2,egld,4.32,129401469,6544862.0,-0.45425
dydx-chain,dydx,0.150085,126084560,5451459.0,-0.16563
ozone-chain,ozo,0.130511,125450379,166017.0,-0.67569
zero-gravity,0g,0.54309,116053262,9262478.0,0.27757
ini,ini,0.131864,115271673,822554.0,0.52946
berachain-bera,bera,0.391063,102263543,28017386.0,-1.12915
pharos-network,pros,0.744808,99872604,37605836.0,2.22598
nexpace,nxpc,0.34635,94365009,17449153.0,1.4542
xphere,xp,0.03460959,94178430,871842.0,40.79012
enjincoin,enj,0.04572118,89840338,10424294.0,-2.85614
aioz-network,aioz,0.071356,88923685,6359257.0,0.87909
oasis-network,rose,0.01114554,84603230,5900144.0,-2.97632
dusk-network,dusk,0.144693,84467403,17278831.0,12.98361
mina-protocol,mina,0.063885,82423037,3471464.0,-0.56121
creditcoin-2,ctc,0.150332,81221961,4641453.0,-0.38257
keeta,kta,0.151019,80938402,1850427.0,-0.10903
constellation-labs,dag,0.0205221,79189192,1007584.0,-6.92685
astar,astr,0.00897632,78278813,3426500.0,3.29307
ronin,ron,0.100058,77591968,5425091.0,-3.52869
zetachain,zeta,0.054301,77363375,3402035.0,-2.12553
fogo,fogo,0.01909454,73076663,2686438.0,-3.8032
qubic-network,qubic,5.28704e-07,72904568,2139591.0,-6.98877
polymesh,polyx,0.056302,71634316,18401116.0,4.36495
concordium,ccd,0.00556644,70139941,368049.0,-1.33719
plume,plume,0.01254703,69744324,10751912.0,-3.31545
movement,move,0.01804189,69235745,15268073.0,-0.99786
digibyte,dgb,0.00376432,68724436,1951442.0,-0.44914
coinex-token,cet,0.02688316,67607970,50095.0,0.34654
bityuan,bty,0.092471,67439748,624957.0,24.83481
kava,kava,0.061242,66315750,8742201.0,-0.94159
aelf,elf,0.080155,65956636,926810.0,0.26132
flow,flow,0.03766037,62586359,6461822.0,-0.4915
verus-coin,vrsc,0.758888,60948016,1083.67,0.09031
zignaly,zig,0.0421716,59425884,3422569.0,10.77898
vethor-token,vtho,0.00056552,56554692,2271151.0,-1.02907
nano,xno,0.424136,56484886,865376.0,-3.01312
peaq-2,peaq,0.02626081,55662197,31508349.0,25.07384
aleo,aleo,0.04731136,52701272,1414584.0,0.96253
